model,ith run, road_block, max_speed_slow, max_speed_fast, fast_car_ratio, density, total_all_cars_distance, total_slow_cars_distance, total_fast_cars_distance, worst_case_distance_slow_cars, worst_cast_distance_fast_cars, best_case_distance_slow_car, best_case_distance_fast_car,num_slow_cars,num_fast_cars,global_speed_rule,slack,distance_look_ahead
NS,1,1,9,-1,0.0,0.05,1557900,1557900,0,30512,999999999,31461,-1,50,0,false,3,7
NS,2,1,9,-1,0.0,0.05,1555743,1555743,0,30444,999999999,31415,-1,50,0,false,3,7
NS,3,1,9,-1,0.0,0.05,1462936,1462936,0,28154,999999999,29916,-1,50,0,false,3,7
NS,4,1,9,-1,0.0,0.05,1473848,1473848,0,28486,999999999,30055,-1,50,0,false,3,7
NS,0,0,9,-1,0.0,0.05,1571700,1571700,0,31389,999999999,31490,-1,50,0,false,3,7
NS,1,0,9,-1,0.0,0.05,1572161,1572161,0,31410,999999999,31557,-1,50,0,false,3,7
NS,2,0,9,-1,0.0,0.05,1571087,1571087,0,31359,999999999,31509,-1,50,0,false,3,7
NS,3,0,9,-1,0.0,0.05,1571307,1571307,0,31385,999999999,31477,-1,50,0,false,3,7
NS,4,0,9,-1,0.0,0.05,1570397,1570397,0,31347,999999999,31529,-1,50,0,false,3,7
NS,0,1,3,4,0.25,0.05,483787,367181,116606,9478,9558,9863,9887,38,12,false,3,7
NS,1,1,3,4,0.25,0.05,481313,364592,116721,9382,9513,9821,10396,38,12,false,3,7
NS,2,1,3,4,0.25,0.05,479876,363135,116741,9340,9514,9843,10390,38,12,false,3,7
NS,3,1,3,4,0.25,0.05,480194,364821,115373,9401,9507,9860,9842,38,12,false,3,7
NS,4,1,3,4,0.25,0.05,480411,364297,116114,9391,9497,9856,9841,38,12,false,3,7
NS,0,0,3,4,0.25,0.05,483812,367039,116773,9500,9589,9898,9890,38,12,false,3,7
NS,1,0,3,4,0.25,0.05,484039,367571,116468,9530,9596,9917,9805,38,12,false,3,7
NS,2,0,3,4,0.25,0.05,484444,367714,116730,9513,9631,9880,9843,38,12,false,3,7
NS,3,0,3,4,0.25,0.05,483146,366589,116557,9476,9608,9859,9845,38,12,false,3,7
NS,4,0,3,4,0.25,0.05,482662,366388,116274,9472,9546,9852,9881,38,12,false,3,7
NS,0,1,3,8,0.25,0.05,494228,366165,128063,9456,9943,9863,11487,38,12,false,3,7
NS,1,1,3,8,0.25,0.05,492352,365161,127191,9318,9764,9865,11543,38,12,false,3,7
NS,2,1,3,8,0.25,0.05,493204,364505,128699,9344,9510,9825,11577,38,12,false,3,7
NS,3,1,3,8,0.25,0.05,497722,366689,131033,9458,9705,9888,12442,38,12,false,3,7
NS,4,1,3,8,0.25,0.05,491968,364890,127078,9343,9817,9848,11561,38,12,false,3,7
NS,0,0,3,8,0.25,0.05,500916,369311,131605,9531,9948,9926,13218,38,12,false,3,7
NS,1,0,3,8,0.25,0.05,499710,369729,129981,9586,9736,9912,11809,38,12,false,3,7
NS,2,0,3,8,0.25,0.05,497038,369257,127781,9580,9889,9924,11612,38,12,false,3,7
NS,3,0,3,8,0.25,0.05,506660,369636,137024,9631,9709,9924,12708,38,12,false,3,7
NS,4,0,3,8,0.25,0.05,493652,369222,124430,9623,9793,9885,11655,38,12,false,3,7
NS,0,1,3,11,0.25,0.05,492512,365259,127253,9345,9780,9803,10875,38,12,false,3,7
NS,1,1,3,11,0.25,0.05,489015,365859,123156,9417,9471,9824,10701,38,12,false,3,7
NS,2,1,3,11,0.25,0.05,491470,367560,123910,9518,9820,9811,10812,38,12,false,3,7
NS,3,1,3,11,0.25,0.05,490912,364744,126168,9353,9761,9783,10877,38,12,false,3,7
NS,4,1,3,11,0.25,0.05,504281,369223,135058,9430,9682,9871,12755,38,12,false,3,7
NS,0,0,3,11,0.25,0.05,506252,371581,134671,9691,9858,9880,12661,38,12,false,3,7
NS,1,0,3,11,0.25,0.05,497725,370176,127549,9619,9754,9933,11665,38,12,false,3,7
NS,2,0,3,11,0.25,0.05,496182,369096,127086,9587,9747,9906,10797,38,12,false,3,7
NS,3,0,3,11,0.25,0.05,500201,371040,129161,9690,9853,9907,11758,38,12,false,3,7
